ID,POSITION,START_POSITION,THRU,TOTAL,TODAY,TOTAL_SCORE,ROUND1,ROUND2,ROUND3,ROUND4,TIME_UPDATED,TOURNAMENT,ENTRY,PRO,ODDS,RANK
3908,T37,24,F,3,4,283,71,72,66,74,14-AUG-11 07.01.36.185000000 PM,4,54,40,,59
3909,T59,9,F,8,4,288,73,71,70,74,14-AUG-11 07.01.38.091000000 PM,4,65,42,,18
3911,CUT,-,-,6,,146,74,72,,,14-AUG-11 07.01.39.565000000 PM,4,,3077,,210
3913,T26,6,F,1,1,281,71,68,71,71,14-AUG-11 07.01.35.678000000 PM,4,,166,,175
3915,T45,15,F,5,-1,285,71,70,75,69,14-AUG-11 07.01.37.276000000 PM,4,,5021,,
3916,CUT,-,-,13,,153,77,76,,,14-AUG-11 07.01.42.819000000 PM,4,,3004,,162
3917,T51,1,F,6,2,286,72,72,70,72,14-AUG-11 07.01.37.718000000 PM,4,,210,,153
3918,CUT,-,-,14,,154,78,76,,,14-AUG-11 07.01.42.915000000 PM,4,59,1521,,78
3919,T10,9,17,-2,5,203,69,68,66,,14-AUG-11 07.01.34.099000000 PM,4,,263,,121
3921,CUT,-,-,9,,149,73,76,,,14-AUG-11 07.01.41.723000000 PM,4,,383,,
3922,CUT,-,-,16,,156,77,79,,,14-AUG-11 07.01.43.350000000 PM,4,,2126,,
3923,WD,-,-,,,,,,,,14-AUG-11 07.01.43.745000000 PM,4,,259,,324
3924,CUT,-,-,10,,150,77,73,,,14-AUG-11 07.01.41.979000000 PM,4,,1002,,102
3925,T4,-,F,-5,0,275,67,69,69,70,14-AUG-11 07.01.33.605000000 PM,4,54,261,,87
3926,CUT,-,-,9,,149,72,77,,,14-AUG-11 07.01.41.849000000 PM,4,,424,,95
3927,CUT,-,-,16,,156,78,78,,,14-AUG-11 07.01.43.334000000 PM,4,,89,,
3928,CUT,-,-,15,,155,74,81,,,14-AUG-11 07.01.43.071000000 PM,4,,227,,795
3929,CUT,-,-,8,,148,73,75,,,14-AUG-11 07.01.41.569000000 PM,4,,194,,256
3957,CUT,-,-,10,,150,77,73,,,14-AUG-11 07.01.42.061000000 PM,4,,304,,
3884,T13,5,F,-1,1,279,71,71,66,71,14-AUG-11 07.01.34.533000000 PM,4,65,34,,12
3910,T64,9,F,11,0,291,71,73,77,70,14-AUG-11 07.01.38.229000000 PM,4,50,3081,,62
3817,T26,13,F,1,2,281,71,70,68,72,14-AUG-11 07.01.35.836000000 PM,4,56,3020,,81
3868,CUT,-,-,5,,145,72,73,,,14-AUG-11 07.01.39.104000000 PM,4,50,10,,3
3912,T10,20,F,-2,-3,278,72,69,70,67,14-AUG-11 07.01.33.864000000 PM,4,53,2993,,79
3838,T72,3,F,14,2,294,72,72,78,72,14-AUG-11 07.01.38.567000000 PM,4,61,15,,16
3802,T62,6,F,10,5,290,73,71,71,75,14-AUG-11 07.01.38.148000000 PM,4,,3031,,111
3828,CUT,-,-,5,,145,73,72,,,14-AUG-11 07.01.39.310000000 PM,4,58,2995,,35
3893,T56,13,F,7,4,287,74,69,70,74,14-AUG-11 07.01.37.980000000 PM,4,,3003,,137
3833,CUT,-,-,5,,145,74,71,,,14-AUG-11 07.01.38.775000000 PM,4,69,635,,64
3896,CUT,-,-,6,,146,75,71,,,14-AUG-11 07.01.39.439000000 PM,4,64,3026,,42
3885,CUT,-,-,8,,148,76,72,,,14-AUG-11 07.01.41.620000000 PM,4,,3044,,155
3920,CUT,-,-,10,,150,77,73,,,14-AUG-11 07.01.42.324000000 PM,4,48,16,,30
3930,CUT,-,-,13,,153,78,75,,,14-AUG-11 07.01.42.697000000 PM,4,,2029,,
3900,CUT,-,-,15,,155,80,75,,,14-AUG-11 07.01.43.144000000 PM,4,62,74,,57
3937,CUT,-,-,24,,164,85,79,,,14-AUG-11 07.01.43.629000000 PM,4,,5027,,
3938,CUT,-,-,13,,153,76,77,,,14-AUG-11 07.01.42.803000000 PM,4,,5028,,
